hs8,list_id,tariff_rate,effective_date,naics6
11029060,List 3,10%,2018-09-24,311211
11031100,List 3,10%,2018-09-24,311211
11031300,List 3,10%,2018-09-24,311211
11031912,List 3,10%,2018-09-24,311211
11031914,List 3,10%,2018-09-24,311212
11031990,List 3,10%,2018-09-24,311211
11032000,List 3,10%,2018-09-24,311211
11041200,List 3,10%,2018-09-24,311211
11041910,List 3,10%,2018-09-24,311211
11041990,List 3,10%,2018-09-24,311211
11042200,List 3,10%,2018-09-24,311211
11042300,List 3,10%,2018-09-24,311211
11042910,List 3,10%,2018-09-24,311211
11042990,List 3,10%,2018-09-24,311211
11043000,List 3,10%,2018-09-24,311211
11051000,List 3,10%,2018-09-24,311211
11052000,List 3,10%,2018-09-24,311423
11061000,List 3,10%,2018-09-24,311211
11062010,List 3,10%,2018-09-24,311211
11062090,List 3,10%,2018-09-24,311211
11063020,List 3,10%,2018-09-24,311211
11063040,List 3,10%,2018-09-24,311211
11071000,List 3,10%,2018-09-24,311213
11072000,List 3,10%,2018-09-24,311213
11081100,List 3,10%,2018-09-24,311221
11081200,List 3,10%,2018-09-24,311221
