fips,year,firms,bds_emp,firm_birth_rate
16001,2015,9718.0,187733.0,
16003,2015,102.0,640.0,
16005,2015,1616.0,24424.0,
16007,2015,101.0,936.0,
16009,2015,209.0,2144.0,
16011,2015,706.0,9703.0,
16013,2015,1158.0,10633.0,
16015,2015,128.0,1125.0,
16017,2015,1230.0,11343.0,
16019,2015,2716.0,44661.0,
16021,2015,315.0,2338.0,
16023,2015,53.0,294.0,
16025,2015,31.0,181.0,
16027,2015,3046.0,50003.0,
16029,2015,162.0,2584.0,
16031,2015,535.0,7273.0,
16033,2015,11.0,80.0,
16035,2015,201.0,1908.0,
16037,2015,118.0,765.0,
16039,2015,420.0,5299.0,
16041,2015,263.0,2206.0,
16043,2015,234.0,1496.0,
16045,2015,332.0,2423.0,
16047,2015,299.0,2719.0,
16049,2015,399.0,3365.0,
16051,2015,380.0,4454.0,
16053,2015,475.0,6382.0,
16055,2015,3716.0,48416.0,
16057,2015,770.0,8328.0,
16059,2015,257.0,1721.0,
16061,2015,99.0,774.0,
16063,2015,70.0,770.0,
16065,2015,657.0,14973.0,
16067,2015,371.0,5001.0,
16069,2015,961.0,17317.0,
16071,2015,76.0,747.0,
16073,2015,147.0,1660.0,
16075,2015,427.0,4759.0,
16077,2015,141.0,2109.0,
16079,2015,281.0,3960.0,
16081,2015,367.0,2131.0,
16083,2015,2030.0,30112.0,
16085,2015,457.0,3187.0,
16087,2015,185.0,2040.0,
16999,2015,213.0,14463.0,
17001,2015,1503.0,31338.0,
17003,2015,79.0,1008.0,
17005,2015,275.0,3888.0,
17007,2015,702.0,15570.0,
17009,2015,95.0,3267.0,
17011,2015,626.0,9460.0,
17013,2015,80.0,550.0,
17015,2015,321.0,3687.0,
17017,2015,200.0,4649.0,
17019,2015,3277.0,68841.0,
17021,2015,594.0,8471.0,
17023,2015,280.0,4007.0,
17025,2015,305.0,4865.0,
17027,2015,698.0,8908.0,
17029,2015,904.0,18233.0,
17031,2015,93300.0,2277094.0,
17033,2015,354.0,6046.0,
17035,2015,149.0,1994.0,
17037,2015,1667.0,27099.0,
17039,2015,324.0,4942.0,
17041,2015,486.0,6355.0,
17043,2015,25004.0,597041.0,
17045,2015,303.0,6148.0,
17047,2015,127.0,2195.0,
17049,2015,986.0,24204.0,
17051,2015,421.0,4790.0,
17053,2015,308.0,4618.0,
17055,2015,593.0,6157.0,
17057,2015,557.0,6544.0,
17059,2015,86.0,674.0,
17061,2015,199.0,1685.0,
17063,2015,908.0,16951.0,
17065,2015,181.0,1744.0,
17067,2015,315.0,2664.0,
17069,2015,51.0,634.0,
17071,2015,96.0,661.0,
17073,2015,883.0,13535.0,
17075,2015,539.0,6158.0,
17077,2015,1047.0,16627.0,
17079,2015,188.0,1726.0,
17081,2015,807.0,18052.0,
17083,2015,358.0,4650.0,
17085,2015,619.0,6669.0,
17087,2015,145.0,1367.0,
17089,2015,9714.0,185589.0,
17091,2015,1877.0,36959.0,
17093,2015,1668.0,22671.0,
17095,2015,848.0,15540.0,
17097,2015,14414.0,325570.0,
17099,2015,2118.0,38630.0,
17101,2015,228.0,3429.0,
17103,2015,616.0,10986.0,
17105,2015,717.0,11009.0,
17107,2015,490.0,7441.0,
17109,2015,556.0,8911.0,
17111,2015,5952.0,82624.0,
17113,2015,2825.0,77588.0,
17115,2015,1916.0,45345.0,
17117,2015,725.0,8197.0,
17119,2015,4445.0,88590.0,
17121,2015,778.0,11315.0,
17123,2015,233.0,2849.0,
17125,2015,229.0,2191.0,
17127,2015,194.0,3357.0,
17129,2015,168.0,1222.0,
17131,2015,226.0,2136.0,
17133,2015,672.0,8296.0,
17135,2015,573.0,6832.0,
17137,2015,703.0,13133.0,
17139,2015,304.0,5040.0,
17141,2015,840.0,12562.0,
17143,2015,3461.0,106017.0,
17145,2015,365.0,4271.0,
17147,2015,270.0,2315.0,
17149,2015,311.0,3146.0,
17151,2015,56.0,330.0,
17153,2015,77.0,792.0,
17155,2015,117.0,1160.0,
17157,2015,541.0,10776.0,
17159,2015,394.0,5408.0,
17161,2015,2476.0,61397.0,
17163,2015,4045.0,77603.0,
17165,2015,463.0,7662.0,
17167,2015,3885.0,86189.0,
17169,2015,125.0,1150.0,
17171,2015,74.0,650.0,
17173,2015,369.0,4136.0,
17175,2015,100.0,959.0,
17177,2015,874.0,13983.0,
17179,2015,2202.0,43259.0,
17181,2015,310.0,3564.0,
17183,2015,1119.0,25036.0,
17185,2015,241.0,2832.0,
17187,2015,312.0,5660.0,
17189,2015,330.0,5666.0,
17191,2015,339.0,3298.0,
17193,2015,325.0,3394.0,
17195,2015,1025.0,17610.0,
17197,2015,11254.0,221779.0,
17199,2015,1320.0,23766.0,
17201,2015,5001.0,116946.0,
17203,2015,651.0,9165.0,
17999,2015,447.0,194435.0,
18001,2015,618.0,11768.0,
18003,2015,6820.0,169418.0,
18005,2015,1444.0,46666.0,
18007,2015,153.0,1369.0,
18009,2015,202.0,2929.0,
18011,2015,1268.0,23521.0,
18013,2015,294.0,1921.0,
18015,2015,320.0,4504.0,
18017,2015,625.0,13858.0,
18019,2015,1962.0,46553.0,
18021,2015,392.0,5738.0,
18023,2015,514.0,10304.0,
18025,2015,101.0,1404.0,
18027,2015,775.0,10639.0,
18029,2015,783.0,12276.0,
