fips,tariff_exposure_share,tariff_exposure_weighted,emp_total_2017
12119,0.0016109506515294498,0.0002339714041507058,209814
12121,0.0039166815025814495,0.00048152137277183494,73021
12123,0.004859236405707674,0.00048592364057076747,38895
12125,0.0,0.0,11173
12127,0.002917462529743314,0.00037147253568183496,1384765
12129,0.0,0.0,33046
12131,0.0005087751113260393,5.168999134871067e-05,198516
12133,0.001851260772422598,0.00018512607724225982,31330
12999,0.0009268246216109757,0.00011429480550482502,2330538
13000,0.00865471221373608,0.0010186308202932038,39045088
13001,0.002319120112052536,0.00025123801213902474,43551
13003,0.0,0.0,12296
13005,0.007883275261324041,0.0008365998838559814,22960
13007,0.0,0.0,1404
13009,0.0,0.0,105563
13011,0.001092896174863388,0.0001092896174863388,29280
13013,0.0011916288076264244,0.00012545955571203207,134270
13015,0.0009044398030160769,9.993507003840244e-05,260935
13017,0.011509381982919589,0.0011509381982919588,32669
13019,0.0009880934736426067,9.880934736426067e-05,20241
13021,0.00020774040758667967,2.593647866514892e-05,625781
13023,0.005737704918032787,0.0005737704918032787,10980
13025,0.006750943146468992,0.0006750943146468992,15109
13027,0.002948569218870843,0.0003159181305933046,20688
13029,0.00020755168835315718,2.075516883531572e-05,62635
13031,0.00038557032276909597,3.972542719439171e-05,171175
13033,0.0,0.0,72157
13035,0.0,0.0,37981
13037,0.0035321005609806775,0.0005101923032527646,4813
13039,0.0,0.0,111006
13043,0.0,0.0,15256
13045,0.0014811606151008516,0.00014811606151008517,286262
13047,0.0,0.0,107149
13049,0.0,0.0,11082
13051,0.0005894157651911871,6.023244104787306e-05,1219852
13053,0.0,0.0,12021
13055,0.0014449291166848419,0.0001444929116684842,36680
13057,0.00017349959000394506,1.830523948107099e-05,484151
13059,0.0010468947880901997,0.00012163926935510755,491931
13061,0.0,0.0,2361
13063,0.00024340650054793035,2.6512434716828154e-05,940813
13065,0.0027506876719179795,0.0003667583562557306,11997
13067,0.0017365496545697374,0.0002008467068722867,3032450
13069,0.0002419506599876336,2.8835608529109397e-05,111593
13071,0.006550548217214884,0.0008056143896252296,92664
13073,9.684442137395118e-05,9.684442137395119e-06,258146
13075,0.0029936716055932395,0.0003166903958900624,26389
13077,0.0007677949270936061,0.00010064613396160896,293047
13079,0.009616925789389325,0.0009616925789389325,6239
13081,0.00023566841454074116,2.5250187272222266e-05,50919
13083,0.0,0.0,21525
13085,0.0,0.0,63074
13087,0.002730791143592464,0.00034695507672462944,50901
13089,0.0011357774847653914,0.00013422841049452554,2429173
13091,0.0,0.0,29056
13093,0.0019474196689386564,0.0002086521073862846,16432
